               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.033084,            0.026214,            0.040623,             0.43843,             0.53457,             0.41254,             0.23514,            0.034726,             0.03075,             0.03582,            0.002476,            0.002476,            0.002476
                  78,            0.032733,            0.026848,            0.041697,             0.43453,             0.53727,             0.41912,             0.25934,            0.029506,            0.030458,            0.035611,            0.002377,            0.002377,            0.002377
                  79,            0.033923,            0.026837,            0.041062,             0.45261,             0.53854,             0.42827,             0.25993,            0.031632,            0.030458,            0.035513,            0.002278,            0.002278,            0.002278
                  80,            0.034432,            0.025345,            0.041959,             0.44899,             0.55063,             0.43472,             0.27519,            0.034978,            0.030145,            0.035408,            0.002179,            0.002179,            0.002179
                  81,            0.031351,            0.025659,            0.039297,             0.39425,             0.54901,             0.44226,             0.27423,            0.034687,            0.030164,            0.035308,             0.00208,             0.00208,             0.00208
                  82,            0.034496,            0.026725,            0.041889,             0.39536,             0.56501,             0.44691,             0.27908,             0.03214,            0.029946,            0.035129,            0.001981,            0.001981,            0.001981
                  83,            0.033672,            0.023556,            0.042367,             0.39086,             0.56909,             0.44678,              0.2811,            0.031508,            0.029673,            0.035053,            0.001882,            0.001882,            0.001882
                  84,            0.032968,            0.023615,            0.037194,             0.40834,             0.55522,             0.45762,             0.29315,            0.031078,            0.029596,            0.034894,            0.001783,            0.001783,            0.001783
                  85,             0.03266,            0.025199,            0.040367,              0.4068,             0.57016,             0.47007,             0.30155,            0.032576,            0.029388,            0.034876,            0.001684,            0.001684,            0.001684
                  86,            0.032077,            0.026156,            0.039826,             0.39135,             0.57395,              0.4717,             0.29613,            0.032653,             0.02971,            0.034786,            0.001585,            0.001585,            0.001585
                  87,            0.031683,            0.024642,            0.041428,             0.39794,             0.58093,               0.476,             0.30191,            0.031755,            0.029643,            0.034564,            0.001486,            0.001486,            0.001486
                  88,            0.032737,            0.023123,            0.041096,             0.40864,             0.55007,             0.47532,             0.30431,            0.030138,            0.029615,            0.034496,            0.001387,            0.001387,            0.001387
                  89,            0.030754,            0.024117,            0.037136,             0.40089,             0.53912,             0.47981,             0.30843,             0.03053,            0.029284,            0.034297,            0.001288,            0.001288,            0.001288
                  90,             0.03119,            0.026446,            0.036365,             0.40972,              0.5275,              0.4814,             0.30486,            0.031165,            0.029405,            0.034235,            0.001189,            0.001189,            0.001189
                  91,            0.033919,            0.025156,            0.041284,             0.41749,             0.53076,             0.48494,             0.30065,            0.031167,            0.029573,            0.034118,             0.00109,             0.00109,             0.00109
                  92,            0.031533,            0.024174,            0.039699,             0.47523,             0.53045,             0.48886,             0.31019,            0.030279,            0.029346,            0.034001,            0.000991,            0.000991,            0.000991
                  93,            0.029637,            0.024096,            0.037217,             0.42722,              0.5323,             0.49285,             0.31546,            0.029957,            0.029328,            0.033946,            0.000892,            0.000892,            0.000892
                  94,            0.030578,            0.025174,            0.037789,             0.41777,             0.56992,             0.48926,             0.30803,            0.030369,             0.02956,             0.03386,            0.000793,            0.000793,            0.000793
                  95,            0.029573,            0.023869,            0.037499,             0.41951,             0.57894,             0.49257,             0.31391,            0.030155,            0.029409,            0.033763,            0.000694,            0.000694,            0.000694
                  96,            0.029799,            0.025533,            0.037292,             0.42626,             0.57526,             0.49399,             0.31412,             0.03054,            0.029455,            0.033722,            0.000595,            0.000595,            0.000595
                  97,             0.02965,            0.025483,            0.038886,             0.42071,             0.57894,             0.48768,             0.31092,            0.030286,            0.029669,            0.033669,            0.000496,            0.000496,            0.000496
                  98,            0.030939,            0.025559,            0.039792,              0.4243,             0.56106,             0.49139,             0.31531,            0.030264,            0.029541,             0.03356,            0.000397,            0.000397,            0.000397
                  99,            0.030684,            0.023801,            0.036653,             0.42871,             0.54342,             0.49406,             0.31567,            0.030945,            0.029627,            0.033547,            0.000298,            0.000298,            0.000298
